name,MAG,RS_sum,RP_sum,Completeness,Contamination,size,Domain,Phylum,Class,Order,Family,Genus,Species,category
MAG_022,YL.RP.342_bins.metabat2.1.fa.80,1265.447374,6799.568776,100,0,2.31760692596436,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,VGDC01,VGDC01,Unassign,RP sig
MAG_023,YL.RP.342_bins.metabat2.1.fa.86,1079.26087,5642.025504,72.41,0,0.960448265075684,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,Unassign,Unassign,RP sig
MAG_024,YL.RP.342_bins.metabat2.1.fa.93,65023.70178,138714.6853,63.79,1.72,2.73302745819092,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Unassign,RP sig
MAG_025,YL.RP.342_concoct_112,30090.16048,86542.20859,86.24,3.76,9.96402740478516,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,CAITIQ01,Unassign,RP sig
MAG_026,YL.RP.342_concoct_23,8131.06449,27258.31711,80.31,4.68,6.9440279006958,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP
MAG_027,YL.RP.342_concoct_56,7075.546138,15698.58716,66.39,2.98,2.49247264862061,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Unassign,RP sig
MAG_028,YL.RP.342_concoct_60,21516.41769,49770.09745,70.3,4.5,3.46523666381836,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP sig
MAG_029,YL.RP.342_concoct_74,10709.71489,45657.9905,93.29,2.74,5.23702716827393,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,Unassign,RP sig
MAG_030,YL.RP.342_concoct_76,25449.84646,67725.55379,65.67,0.86,4.25450134277344,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ideonella,Unassign,RP sig
MAG_031,YL.RP.348_bins.070.maxbin,113219.8895,189192.4932,55.45,0,3.05300617218018,Bacteria,Fibrobacterota,Fibrobacteria,UBA11236,UBA11236,Chersky-265,Unassign,RP sig
MAG_032,YL.RP.348_bins.metabat2.1.fa.43,36579.83468,97300.00122,59.81,1.72,4.74722003936768,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig
MAG_033,YL.RP.348_bins.metabat2.1.fa.53,234943.5096,58324.65056,70.65,5.32,2.5934476852417,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-39,SCGC-AG-212-J23,Unassign,RS sig
MAG_034,YL.RP.348_bins.metabat2.1.fa.56,71133.84203,379267.8395,51.21,3.45,3.32911777496338,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,Unassign,RP sig
MAG_035,YL.RP.348_bins.metabat2.1.fa.62,55905.58206,21770.27751,63.92,0.97,0.92112922668457,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Nitrososphaera,Unassign,RS sig
MAG_036,YL.RP.348_bins.metabat2.1.fa.63,22473.8346,174221.0399,89.24,0.74,6.30920505523682,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig
MAG_037,YL.RP.348_concoct_63,46117.57695,150850.2687,93.8,3.51,12.2430629730225,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Kibdelosporangium,Unassign,RP sig
MAG_038,YL.RP.348_concoct_8,51946.22855,150947.4587,92.29,1.18,8.07080745697021,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Crossiella,Unassign,RP sig
MAG_039,YL.RP.9_bins.metabat2.1.fa.13,5060.995274,26456.53256,93.12,2.37,4.18881893157959,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig
MAG_040,YL.RP.9_bins.metabat2.1.fa.27,54582.83277,62917.14485,95.63,4.3,3.94007778167725,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Terrabacter,Unassign,RP
MAG_041,YL.RP.9_bins.metabat2.1.fa.36,1335.231018,6728.934904,58.59,0,0.868797302246094,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,EFPC-124,Unassign,RP sig
MAG_042,YL.RP.9_bins.metabat2.1.fa.43,371107.3019,47463.63164,54.57,0.91,3.45753383636475,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,Unassign,RS sig
MAG_043,YL.RP.9_bins.metabat2.1.fa.55,97722.53495,224275.7506,85.93,1.16,2.86715507507324,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-1321,Peribacillus,Peribacillus frigoritolerans,RP sig
MAG_044,YL.RP.9_bins.metabat2.1.fa.74,3352.040136,37679.10729,86.35,0.62,3.64273357391357,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig
MAG_045,YL.RP.9_concoct_20,104255.9488,62647.19612,62.1,3.39,1.72611904144287,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter,Unassign,RS sig
MAG_046,YL.RP.9_concoct_40,58587.98465,125043.0663,62.79,1.04,2.00586891174316,Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Unassign,RP sig
MAG_047,YL.RP.977_bins.001.maxbin,104236.8846,419096.1905,52.05,2.56,0.822922706604004,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig
MAG_048,YL.RP.977_bins.metabat2.1.fa.10,773.143354,4293.440366,60.4,0,0.96919059753418,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,UBA6022,Unassign,RP sig
MAG_049,YL.RP.977_bins.metabat2.1.fa.15,46181.02875,83303.40505,72.83,0.88,2.97720241546631,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Acidovorax,Unassign,RP
MAG_050,YL.RP.977_bins.metabat2.1.fa.21,5944.63542,36776.1906,91.07,2.83,4.678222656,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig
MAG_051,YL.RP.977_bins.metabat2.1.fa.50,15915.7122,79124.12204,53.45,0,5.59035396575928,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,Unassign,RP sig
MAG_052,YL.RP.977_bins.metabat2.1.fa.67,23047.40014,72821.31177,89.87,0.91,6.09383106231689,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP
MAG_053,YL.RP.977_concoct_37,260409.8188,79045.31612,50.84,1.64,2.79879760742188,Bacteria,Desulfobacterota_B,Binatia,UBA9968,UBA9968,WHTF01,Unassign,RS sig
MAG_054,YL.RP.977_concoct_44,20569.69681,54550.72621,51.55,1.72,4.70422458648682,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig
MAG_055,YL.RP.977_concoct_46,3645.51713,28944.18803,100,0.66,4.62064456939697,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,Pantoea ananatis,RP sig
MAG_056,YL.RP.977_concoct_59,23762.82422,192089.9156,57.91,3.5,2.80881786346436,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig
MAG_057,YL.RP.977_concoct_65,59515.57978,197688.2937,59.62,1.35,6.81578826904297,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig
MAG_058,YL.RP.977_concoct_74,17016.29908,47763.09513,70.11,0.88,2.2589750289917,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassign,Unassign,RP sig
MAG_059,YL.RP.995_bins.metabat2.1.fa.12,46224.04115,119373.0788,62.71,3.36,3.75399780273438,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pelomonas,Unassign,RP sig
MAG_060,YL.RP.995_bins.metabat2.1.fa.23,36416.81329,241416.8506,50.16,3.45,2.77849292755127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassign,RP sig
MAG_061,YL.RP.995_bins.metabat2.1.fa.33,21944.56621,120681.3743,91.83,3.37,4.10987377166748,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Unassign,RP sig
MAG_062,YL.RP.995_bins.metabat2.1.fa.46,33635.16505,93449.91094,72.65,9.84,2.46657562255859,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Unassign,Unassign,RP sig
MAG_063,YL.RP.995_concoct_27,37672.41194,156688.4543,52.74,1.72,8.0595817565918,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis sp017308975,RP sig
MAG_064,YL.RP.995_concoct_7,743983.5162,100508.4335,62.68,2.48,4.09834575653076,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,EnvOPS12,UBA12294,Unassign,RS sig
MAG_065,YL.RP.Si051_bins.057.maxbin,41457.89456,251668.5559,68.74,4.88,4.04064846038818,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,Ensifer adhaerens,RP sig
MAG_066,YL.RP.Si051_bins.metabat2.1.fa.1,18825.34907,50890.253,68.71,4.05,2.08627986907959,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium_A,Unassign,RP sig
MAG_067,YL.RP.Si051_bins.metabat2.1.fa.18,12088.6652,40025.10102,87.88,1.84,2.92369937896729,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_H,Bacillus_I,Bacillus_I endophytica,RP sig
MAG_068,YL.RP.Si051_bins.metabat2.1.fa.20,26333.56922,104454.043,54.35,1.85,1.02104949951172,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig
MAG_069,YL.RP.Si051_bins.metabat2.1.fa.35,60561.6572,185984.172,61.72,3.45,5.18702411651611,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Cellulomonadaceae,Promicromonospora,Unassign,RP sig
MAG_070,YL.RP.Si051_bins.metabat2.1.fa.4,1487.25358,58306.93024,65.16,3.45,4.08188438415527,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,RP sig
MAG_071,YL.RP.Si051_bins.metabat2.1.fa.41,2331.345236,19214.76021,73.92,0.43,3.45438957214355,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales_A,Rhizobiaceae_A,Ochrobactrum,Ochrobactrum anthropi,RP sig
MAG_072,YL.RP.Si051_bins.metabat2.1.fa.44,3700.404358,6282.189984,68.93,0,0.948824882507324,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,Unassign,Unassign,RP sig
MAG_073,YL.RP.Si051_bins.metabat2.1.fa.46,218.1228,10610.79443,65.16,1.72,4.15128326416016,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,RP
MAG_074,YL.RP.Si051_bins.metabat2.1.fa.56,1702.898094,8140.6671,93.45,0.58,3.57955265045166,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus licheniformis,RP sig
MAG_075,YL.RP.Si051_bins.metabat2.1.fa.72,1006.984158,46497.09103,97.06,1.72,6.28466701507568,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E chlororaphis_F,RP sig
MAG_076,YL.RP.Si051_concoct_40,18607.97605,49265.88948,60.57,1.04,2.71294689178467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig
MAG_077,YL.RP.Si051_concoct_54,9143.25428,46367.15406,59.63,0.48,3.64481449127197,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pseudosphingobacterium,Unassign,RP sig
MAG_078,YL.RP.Si051_concoct_55,105972.1181,616334.4126,55.47,2.29,5.31444549560547,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter_A,Unassign,RP sig
MAG_079,YL.RP.Si062_bins.metabat2.1.fa.33,115.576534,2621.367226,99.16,0.67,4.34079265594482,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter asburiae_B,RP sig
MAG_080,YL.RP.Si062_bins.metabat2.1.fa.34,34875.69226,180069.1691,59.1,0.73,3.15199279785156,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea,Unassign,RP sig
MAG_081,YL.RP.Si062_bins.metabat2.1.fa.43,33749.88139,57469.82791,92.72,3.97,3.62092304229736,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus_P,Unassign,RP
MAG_082,YL.RP.Si062_bins.metabat2.1.fa.51,1434.722428,29219.66852,53.45,0,6.20004367828369,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp900581005,RP sig
MAG_083,YL.RP.Si062_bins.metabat2.1.fa.52,4181.772304,112394.8504,92.65,2.55,5.15979671478271,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E inefficax,RP sig
MAG_084,YL.RP.Si062_bins.metabat2.1.fa.53,21802.60958,198855.119,56.34,2.23,5.72921371459961,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Neorhizobium,Neorhizobium huautlense,RP sig
MAG_085,YL.RP.Si062_bins.metabat2.1.fa.54,17519.85043,118513.2462,73.97,1.43,3.99420356750488,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig
MAG_086,YL.RP.Si062_bins.metabat2.1.fa.67,417.581082,1252.318946,69.31,0,1.08243370056152,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,Unassign,Unassign,RP
MAG_087,YL.RP.Si062_bins.metabat2.1.fa.71,248067.3213,276183.055,56.95,0,3.77435970306396,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Arthrobacter,Unassign,RP
MAG_088,YL.RP.Si062_bins.metabat2.1.fa.89,8661.860466,32202.08198,80.69,8.62,3.99440860748291,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,Pseudoxanthomonas_A sp019218945,RP sig
MAG_089,YL.RP.Si062_concoct_15,2326.880888,13138.84929,97.86,2.46,4.36507320404053,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas geniculata,RP sig
MAG_090,YL.RP.Si062_concoct_26,25611.99885,237613.71,71.41,1,5.1266508102417,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig
MAG_091,YL.RP.Si062_concoct_30,31989.30082,74151.77432,51.31,0.15,1.80644226074219,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas_H,Unassign,RP sig
MAG_092,YL.RP.Si079_bins.012.maxbin,4247.297692,27967.25914,57.87,0,0.808755874633789,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,EFPC-124,Unassign,RP sig
MAG_093,YL.RP.Si079_bins.052.maxbin,6981.394782,39981.06485,51.07,1.89,1.90715980529785,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter calcoaceticus,RP sig
MAG_094,YL.RP.Si079_bins.metabat2.1.fa.19,9031.870222,90323.26766,64.66,0,3.04752731323242,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig
MAG_095,YL.RP.Si079_bins.metabat2.1.fa.28,911.036798,21270.92035,98.3,0.04,4.39028072357178,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter mori,RP
MAG_096,YL.RP.Si079_bins.metabat2.1.fa.33,7763.938542,23903.58188,65.81,0,1.23281478881836,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,Unassign,Unassign,RP sig
MAG_097,YL.RP.Si079_bins.metabat2.1.fa.35,33152.63269,269031.7288,57.84,1.99,3.23546028137207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,Unassign,RP sig
MAG_098,YL.RP.Si079_bins.metabat2.1.fa.41,9723.064956,95923.55188,51.88,1.72,2.60115814208984,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig
MAG_099,YL.RP.Si079_bins.metabat2.1.fa.42,8595.842028,84189.131,97.13,1.08,5.19900798797607,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E asiatica,RP sig
MAG_100,YL.RP.Si079_bins.metabat2.1.fa.47,25512.28158,207938.1469,65.6,2.19,3.41430377960205,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig
MAG_101,YL.RP.Si079_bins.metabat2.1.fa.6,97075.05863,580136.3961,59.8,0,6.51142406463623,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter_A,Unassign,RP sig
MAG_102,YL.RP.Si079_bins.metabat2.1.fa.8,399580.5575,1335218.402,98.25,8.77,4.05945301055908,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_H,Priestia,Priestia megaterium,RP sig
MAG_103,YL.RP.Si080_bins.037.maxbin,31975.03266,266644.4455,79.55,1.97,5.42203330993652,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Unassign,RP sig
MAG_104,YL.RP.Si080_bins.044.maxbin,1657.167836,5521.091556,52.48,1.98,0.935639381408691,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,Unassign,Unassign,RP sig
MAG_105,YL.RP.Si080_bins.metabat2.1.fa.14,1104.754892,4405.223238,53.63,1.98,0.99542236328125,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,Unassign,Unassign,RP sig
MAG_106,YL.RP.Si080_bins.metabat2.1.fa.16,2328.075858,13453.65037,55.6,0,0.849081993103027,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,EFPC-124,Unassign,RP sig
MAG_107,YL.RP.Si080_bins.metabat2.1.fa.27,305.80515,2090.095918,54.27,0,1.06353950500488,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,PMNU01,Unassign,RP
MAG_108,YL.RP.Si080_bins.metabat2.1.fa.47,54892.86103,88184.70216,54.46,0,1.2002124786377,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Metabacillus,Metabacillus sp004801455,RP
MAG_109,YL.RP.Si080_bins.metabat2.1.fa.67,13282.05834,45623.96951,99.09,5.69,5.50898933410645,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Mitsuaria,Unassign,RP sig
MAG_110,YL.RP.Si080_concoct_12,31439.33903,92362.95394,54.32,1.59,3.82276725769043,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP
MAG_111,YL.RP.Si080_concoct_32,21896.74644,93024.0778,75.39,3.86,1.98902034759521,Bacteria,Firmicutes,Bacilli,Bacillales_D,Amphibacillaceae,Terribacillus,Terribacillus saccharophilus,RP sig
MAG_112,YL.RP.Si080_concoct_54,28845.71594,113637.1008,91.09,0.99,8.13436698913574,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Amycolatopsis,Unassign,RP sig
MAG_113,YL.RP.Si080_concoct_57,125087.923,479676.2647,62.79,2.49,2.95130443572998,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia_A,Unassign,RP sig
MAG_114,YL.RP.Si081_bins.026.maxbin,9659.06939,19717.36966,99.86,3.52,3.52548789978027,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Unassign,RP sig
MAG_115,YL.RP.Si081_bins.049.maxbin,35180.38595,98923.87107,72.13,7.9,7.03823280334473,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig
MAG_116,YL.RP.Si081_bins.098.maxbin,27479.4014,37406.23194,52.82,4.47,4.16927814483643,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Pseudobacter,Unassign,RP
MAG_117,YL.RP.Si081_bins.metabat2.1.fa.12,32901.43485,133189.9385,50.68,4.42,4.01573753356934,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP sig
MAG_118,YL.RP.Si081_bins.metabat2.1.fa.15,20743.16762,136725.2,62.23,1.72,4.29642868041992,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,Unassign,RP sig
MAG_119,YL.RP.Si081_bins.metabat2.1.fa.16,3869.140692,9819.841344,59.95,0,4.37250709533691,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia cowanii,RP
MAG_120,YL.RP.Si081_bins.metabat2.1.fa.24,950.80603,7063.481764,95.08,0.77,4.4590892791748,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphocola,Unassign,RP
