category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Group
Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",5/85,110/14490,0.0454545454545455,7.74866310160428,5.45766262751576,0.000465890587390084,0.00304381850428189,0.00176548012063611,K00058/K00382/K00600/K01733/K01754,5,Group KO
Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),4/85,70/14490,0.0571428571428571,9.74117647058823,5.63129547733842,0.000753134568495837,0.00456010433876074,0.00264495847790634,K00164/K00239/K00382/K01681,4,Group KO
Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",4/85,71/14490,0.0563380281690141,9.6039768019884,5.58255321958856,0.000794560067834924,0.00456010433876074,0.00264495847790634,K00128/K00249/K00382/K00626,4,Group KO
Metabolism,Lipid metabolism,ko00061,Fatty acid biosynthesis,3/85,40/14490,0.075,12.7852941176471,5.73335106402389,0.00164567760521007,0.00848823185845195,0.00492335682445118,K00059/K01961/K09458,3,Group KO
Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,6/85,224/14490,0.0267857142857143,4.56617647058824,4.13188064001512,0.00202111333849116,0.00990345535860671,0.00574421685676436,K00525/K00764/K00948/K00951/K01951/K23269,6,Group KO
Metabolism,Metabolism of cofactors and vitamins,ko00770,Pantothenate and CoA biosynthesis,3/85,45/14490,0.0666666666666667,11.3647058823529,5.34904811301617,0.00231428768193718,0.0108000091823735,0.00626423733456681,K00128/K01652/K01687,3,Group KO
Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,3/85,60/14490,0.05,8.52352941176471,4.48576089384209,0.0052399146031778,0.0223265926570184,0.0129499033671213,K00128/K00249/K00626,3,Group KO
Genetic Information Processing,Replication and repair,ko03030,DNA replication,3/85,60/14490,0.05,8.52352941176471,4.48576089384209,0.0052399146031778,0.0223265926570184,0.0129499033671213,K01972/K02335/K02337,3,Group KO
Metabolism,Energy metabolism,ko00680,Methane metabolism,5/85,196/14490,0.0255102040816327,4.34873949579832,3.62580587969926,0.0058909074730272,0.0240545388481944,0.0139521492782223,K00058/K00123/K00600/K01689/K01895,5,Group KO
Metabolism,Metabolism of cofactors and vitamins,ko00780,Biotin metabolism,2/85,24/14490,0.0833333333333333,14.2058823529412,4.97359997522484,0.00863187891623242,0.0313305234737325,0.0181723766657525,K00059/K09458,2,Group KO
Metabolism,Carbohydrate metabolism,ko00052,Galactose metabolism,3/85,81/14490,0.037037037037037,6.31372549019608,3.68380591846586,0.0119652652034499,0.0404343444806237,0.0234527884205551,K00845/K01187/K01784,3,Group KO
Metabolism,Amino acid metabolism,ko00380,Tryptophan metabolism,3/85,81/14490,0.037037037037037,6.31372549019608,3.68380591846586,0.0119652652034499,0.0404343444806237,0.0234527884205551,K00128/K00382/K00626,3,Group KO
Metabolism,Carbohydrate metabolism,ko00660,C5-Branched dibasic acid metabolism,2/85,29/14490,0.0689655172413793,11.7565922920892,4.45396275955488,0.0124594691093304,0.0407009324238127,0.0236074151545208,K01652/K01703,2,Group KO
Metabolism,Metabolism of cofactors and vitamins,ko00785,Lipoic acid metabolism,2/85,31/14490,0.0645161290322581,10.9981024667932,4.28056739525762,0.0141625832903141,0.0447720374984123,0.025968743554396,K00164/K00382,2,Group KO
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,20/471,108/14490,0.185185185185185,5.69709837225761,8.98055202755678,2.41891047171867e-10,1.48158266392769e-08,1.10760637389223e-08,K00001/K00016/K00121/K00134/K00163/K00174/K00175/K00627/K00873/K00927/K01596/K01610/K01624/K01810/K01835/K02446/K03737/K11645/K13979/K15633,20,Partially KO
Metabolism,Amino acid metabolism,ko00270,Cysteine and methionine metabolism,21/471,128/14490,0.1640625,5.04727308917197,8.43006988391263,8.90802592689935e-10,4.36493270418068e-08,3.26315055006418e-08,K00003/K00016/K00024/K00133/K00547/K00549/K00789/K00797/K00812/K00826/K00831/K00928/K01011/K01251/K01697/K01738/K01740/K01752/K01760/K01761/K08963,21,Partially KO
Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,21/471,134/14490,0.156716417910448,4.82127578667174,8.14545218590462,2.11248212235201e-09,8.6259686662707e-08,6.4486296366535e-08,K00001/K00016/K00024/K00027/K00029/K00102/K00121/K00163/K00174/K00175/K00627/K00873/K01069/K01595/K01596/K01610/K01638/K01679/K01958/K03737/K13979,21,Partially KO
Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",15/471,70/14490,0.214285714285714,6.59235668789809,8.59671234862515,5.34540060711506e-09,1.87089021249027e-07,1.39864617389176e-07,K00135/K00259/K00261/K00266/K00294/K00609/K00812/K00823/K01756/K01779/K01939/K01940/K01956/K13821/K15371,15,Partially KO
Metabolism,Carbohydrate metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,19/471,118/14490,0.161016949152542,4.95357875418331,7.9039454732782,7.83637284487777e-09,2.39988918374382e-07,1.79411694080096e-07,K00012/K00790/K00849/K00971/K00973/K01183/K01198/K01207/K01209/K01443/K01791/K01810/K01835/K01840/K01854/K02564/K03431/K10046/K12373,19,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00670,One carbon pool by folate,14/471,65/14490,0.215384615384615,6.62616364527193,8.33263328990716,1.62004719203263e-08,3.96911562047995e-07,2.96724433067029e-07,K00108/K00130/K00281/K00282/K00297/K00547/K00602/K00605/K00789/K01251/K01491/K01697/K01938/K13990,14,Partially KO
Metabolism,Carbohydrate metabolism,ko00030,Pentose phosphate pathway,16/471,89/14490,0.179775280898876,5.53066628497817,7.85835953232354,2.3948967294207e-08,4.88958082256726e-07,3.6553686922737e-07,K00033/K00036/K00117/K00616/K00874/K01053/K01619/K01621/K01624/K01810/K01835/K02446/K07404/K11529/K11645/K19813,16,Partially KO
Metabolism,Amino acid metabolism,ko00300,Lysine biosynthesis,12/471,48/14490,0.25,7.69108280254777,8.51088053724744,2.90898607080264e-08,5.48231990266652e-07,4.09849049651546e-07,K00003/K00133/K00215/K00290/K00821/K00928/K01439/K01586/K01714/K01928/K05825/K10206,12,Partially KO
Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",17/471,110/14490,0.154545454545455,4.7544875506659,7.24500534267677,9.00616114767786e-08,1.57607820084363e-06,1.17824965390673e-06,K00003/K00108/K00130/K00133/K00274/K00281/K00282/K00605/K00639/K00831/K00928/K01620/K01696/K01697/K01752/K11529/K15633,17,Partially KO
Genetic Information Processing,Translation,ko00970,Aminoacyl-tRNA biosynthesis,13/471,66/14490,0.196969696969697,6.05964099594673,7.55126924589409,1.62686911843029e-07,2.65721956010281e-06,1.98649281829383e-06,K00604/K01042/K01866/K01867/K01875/K01880/K01881/K01885/K01886/K01889/K01892/K01893/K04567,13,Partially KO
Metabolism,Amino acid metabolism,ko00330,Arginine and proline metabolism,17/471,115/14490,0.147826086956522,4.54777070063694,7.00118700737822,1.75235389926627e-07,2.68329190825147e-06,2.00598406889691e-06,K00147/K00274/K00294/K00318/K00797/K00812/K00931/K01259/K01426/K01470/K01474/K01476/K01480/K01485/K01585/K09123/K13821,17,Partially KO
Metabolism,Carbohydrate metabolism,ko00020,Citrate cycle (TCA cycle),13/471,70/14490,0.185714285714286,5.71337579617834,7.24552065829455,3.3541052312388e-07,4.83385753913828e-06,3.61371089929134e-06,K00024/K00031/K00163/K00174/K00175/K00627/K01596/K01610/K01647/K01679/K01903/K01958/K03737,13,Partially KO
Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,16/471,118/14490,0.135593220338983,4.17143474036489,6.34029288865965,1.32842560991031e-06,1.80813485793347e-05,1.35173132236487e-05,K00024/K00122/K00281/K00282/K00605/K01601/K01638/K01647/K01816/K01847/K01848/K01966/K03781/K05825/K11473/K11529,16,Partially KO
Metabolism,Biosynthesis of other secondary metabolites,ko00521,Streptomycin biosynthesis,7/471,21/14490,0.333333333333333,10.2547770700637,7.77906665639588,2.87034683950127e-06,3.70123671409374e-05,2.76698254888211e-05,K00010/K00067/K00973/K01092/K01710/K01835/K01858,7,Partially KO
Metabolism,Glycan biosynthesis and metabolism,ko00511,Other glycan degradation,7/471,22/14490,0.318181818181818,9.78865083960625,7.56136918707558,4.09250979764983e-06,5.01332450212104e-05,3.74787739363721e-05,K01186/K01190/K01191/K01192/K01206/K12373/K15923,7,Partially KO
Metabolism,Amino acid metabolism,ko00220,Arginine biosynthesis,11/471,67/14490,0.164179104477612,5.05086034794182,6.09155279814869,9.45006234359375e-06,0.000105239330644567,7.86751601811154e-05,K00145/K00261/K00620/K00812/K00821/K01428/K01438/K01476/K01940/K01956/K15371,11,Partially KO
Metabolism,Amino acid metabolism,ko00280,"Valine, leucine and isoleucine degradation",11/471,71/14490,0.154929577464789,4.76630483538172,5.83106943826193,1.67502219714883e-05,0.000178426277522375,0.000133388495333591,K00020/K00140/K00248/K00632/K00826/K01847/K01848/K01907/K01966/K01969/K11381,11,Partially KO
Metabolism,Amino acid metabolism,ko00360,Phenylalanine metabolism,11/471,75/14490,0.146666666666667,4.51210191082802,5.5893532690513,2.85067381820258e-05,0.00029100628560818,0.000217551422968092,K00074/K00274/K00285/K00457/K00812/K00817/K01426/K01593/K01912/K03782/K05712,11,Partially KO
Metabolism,Energy metabolism,ko00720,Other carbon fixation pathways,14/471,122/14490,0.114754098360656,3.53033308969406,5.1443509946751,4.18300485240902e-05,0.000409934475536084,0.000306460144976492,K00024/K00031/K00174/K00175/K00297/K01491/K01595/K01679/K01847/K01848/K01903/K01938/K01958/K03737,14,Partially KO
Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,20/471,224/14490,0.0892857142857143,2.7468152866242,4.82937606170996,4.38628531479849e-05,0.000413323039279089,0.000308993378451392,K00088/K00602/K00958/K01081/K01119/K01129/K01139/K01241/K01428/K01524/K01589/K01756/K01835/K01933/K01939/K01945/K09769/K11177/K13482/K22879,20,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00785,Lipoic acid metabolism,7/471,31/14490,0.225806451612903,6.94678446681734,6.07526264898429,4.89554739816038e-05,0.000444225597240479,0.000332095612974622,K00163/K00281/K00282/K00605/K00627/K03644/K11381,7,Partially KO
Metabolism,Metabolism of other amino acids,ko00480,Glutathione metabolism,9/471,57/14490,0.157894736842105,4.85752598055649,5.34858772955737,8.4284741820736e-05,0.00073749149093144,0.00055133628108301,K00031/K00033/K00036/K00797/K00799/K01255/K01256/K01469/K06048,9,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00770,Pantothenate and CoA biosynthesis,8/471,45/14490,0.177777777777778,5.4692144373673,5.50363746972515,8.7810687422939e-05,0.000741848910986898,0.000554593815302772,K00053/K00077/K00606/K00826/K01464/K01918/K06016/K13038,8,Partially KO
Metabolism,Amino acid metabolism,ko00340,Histidine metabolism,8/471,47/14490,0.170212765957447,5.23648190811763,5.33208079316092,0.000121014191128056,0.000988282560879123,0.000738823482676552,K00013/K00274/K00817/K01468/K01712/K01745/K02500/K13990,8,Partially KO
Metabolism,Metabolism of other amino acids,ko00450,Selenocompound metabolism,7/471,36/14490,0.194444444444444,5.98195329087049,5.48564903474097,0.000135031891461195,0.00106718752929009,0.00079781151491504,K00549/K00958/K01008/K01042/K01760/K01761/K11717,7,Partially KO
Metabolism,Glycan biosynthesis and metabolism,ko00550,Peptidoglycan biosynthesis,8/471,55/14490,0.145454545454545,4.47481181239143,4.7323339231313,0.00037332574150451,0.0028582752083939,0.00213679865203239,K00790/K01921/K01924/K01928/K05365/K05515/K07258/K19302,8,Partially KO
Genetic Information Processing,Replication and repair,ko03430,Mismatch repair,7/471,44/14490,0.159090909090909,4.89432541980313,4.74193846937744,0.000495378802731864,0.00367781232331233,0.00274947086683714,K02338/K02343/K03572/K03601/K07456/K07462/K10747,7,Partially KO
Metabolism,Amino acid metabolism,ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",9/471,74/14490,0.121621621621622,3.7416078498881,4.333810823,0.000635985201629303,0.00458012318387861,0.00342402334691677,K00014/K00766/K00800/K00812/K00817/K01657/K01696/K01735/K01736,9,Partially KO
Metabolism,Metabolism of other amino acids,ko00410,beta-Alanine metabolism,7/471,46/14490,0.152173913043478,4.68152866242038,4.5838933416081,0.000654303311982658,0.00458012318387861,0.00342402334691677,K00140/K00248/K00823/K01464/K01918/K06016/K15372,7,Partially KO
Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,11/471,114/14490,0.0964912280701754,2.96848809922896,3.86756239687017,0.00120449092722512,0.00797568316676095,0.00596248709351839,K00254/K00609/K01081/K01119/K01464/K01465/K01485/K01956/K06016/K09769/K09903,11,Partially KO
Genetic Information Processing,Replication and repair,ko03410,Base excision repair,7/471,53/14490,0.132075471698113,4.06321355606297,4.09494312092524,0.00155012095322694,0.00999420088264739,0.00747149711527667,K01142/K03575/K07462/K10563/K10747/K10773/K21929,7,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00790,Folate biosynthesis,9/471,84/14490,0.107142857142857,3.29617834394904,3.868518663,0.00159243700311383,0.0100037709169971,0.00747865151259936,K01077/K01113/K01495/K03342/K03639/K03750/K07141/K11754/K14652,9,Partially KO
Metabolism,Biosynthesis of other secondary metabolites,ko00261,Monobactam biosynthesis,5/471,28/14490,0.178571428571429,5.49363057324841,4.36247895260445,0.00187988892694936,0.0115143196775648,0.00860791245497865,K00133/K00215/K00928/K00958/K01714,5,Partially KO
Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,10/471,107/14490,0.0934579439252336,2.87517114113935,3.56844659160828,0.00251863479668176,0.0150503786630983,0.0112514109017362,K00688/K00694/K00700/K00705/K01214/K01236/K01810/K01835/K05343/K05349,10,Partially KO
Metabolism,Lipid metabolism,ko00071,Fatty acid degradation,7/471,60/14490,0.116666666666667,3.58917197452229,3.68361725857531,0.00319739250631785,0.0186514562868541,0.013943516192965,K00001/K00121/K00248/K00252/K00632/K01897/K07516,7,Partially KO
Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,10/471,118/14490,0.0847457627118644,2.60714671272806,3.21298771942255,0.00509976447806876,0.0290567976076011,0.0217223750106234,K00008/K00971/K01624/K01711/K01840/K02446/K03332/K11645/K12661/K18334,10,Partially KO
Cellular Processes,Cellular community - prokaryotes,ko02024,Quorum sensing,18/471,283/14490,0.0636042402826855,1.95674191442911,2.97925701119337,0.00526515343813273,0.0293173316441481,0.0219171458907917,K01114/K01657/K01897/K01997/K01998/K01999/K02031/K02032/K02033/K02034/K02054/K02055/K03076/K03106/K03110/K03217/K15580/K20276,18,Partially KO
Metabolism,Amino acid metabolism,ko00350,Tyrosine metabolism,8/471,85/14490,0.0941176470588235,2.89546646684151,3.21247738532033,0.00633755314824995,0.0337543591591573,0.025234193313398,K00001/K00121/K00135/K00274/K00457/K00812/K00817/K01593,8,Partially KO
Metabolism,Carbohydrate metabolism,ko00640,Propanoate metabolism,9/471,104/14490,0.0865384615384615,2.66229789318961,3.11836277891184,0.00673803999742755,0.0342317071514609,0.0255910506739171,K00016/K00140/K00248/K00823/K01847/K01848/K01903/K01966/K11381,9,Partially KO
Metabolism,Energy metabolism,ko00910,Nitrogen metabolism,7/471,69/14490,0.101449275362319,3.12101910828025,3.23699910963066,0.00696378709317063,0.0342317071514609,0.0255910506739171,K00261/K00266/K00362/K00372/K01673/K02567/K15371,7,Partially KO
Metabolism,Metabolism of cofactors and vitamins,ko00780,Biotin metabolism,4/471,24/14490,0.166666666666667,5.12738853503185,3.70917979887531,0.00698606268397161,0.0342317071514609,0.0255910506739171,K00208/K00647/K00652/K01012,4,Partially KO
Metabolism,Metabolism of other amino acids,ko00470,D-Amino acid metabolism,6/471,55/14490,0.109090909090909,3.35610885929357,3.20877632614918,0.00861290572604353,0.040580036593859,0.0303369553913274,K00285/K01586/K01775/K01779/K01921/K13877,6,Partially KO
Cellular Processes,Cell motility,ko02030,Bacterial chemotaxis,4/471,26/14490,0.153846153846154,4.73297403233709,3.49195451565136,0.00933968271114085,0.0431740049854624,0.0322761626958989,K03406/K03407/K03412/K10439,4,Partially KO
Environmental Information Processing,Membrane transport,ko03070,Bacterial secretion system,7/471,74/14490,0.0945945945945946,2.91013943880186,3.01946282157422,0.0101209658902731,0.0459191970947576,0.0343284223178854,K02453/K02454/K03076/K03106/K03110/K03217/K11891,7,Partially KO
Metabolism,Carbohydrate metabolism,ko00051,Fructose and mannose metabolism,40/1303,118/14490,0.338983050847458,3.76965802515707,9.49569943578416,3.98991243952639e-14,6.52350683862565e-12,5.22888524969511e-12,K00045/K00066/K00594/K00847/K00848/K00850/K00863/K00882/K00895/K01218/K01622/K01623/K01628/K01629/K01729/K01803/K01805/K01808/K01809/K01820/K02377/K02768/K02769/K02770/K02793/K02800/K03841/K05947/K07046/K15778/K15916/K16011/K16881/K18335/K18336/K19270/K19355/K19956/K21071/K21883,40,Specific KO
Metabolism,Carbohydrate metabolism,ko00500,Starch and sucrose metabolism,36/1303,107/14490,0.336448598130841,3.74147366609047,8.9468393275574,9.70856553683145e-13,7.93675232635971e-11,6.36166531229219e-11,K00691/K00693/K00697/K00702/K00703/K00847/K00963/K00975/K01176/K01178/K01182/K01193/K01194/K01200/K01210/K01212/K01222/K01513/K01838/K02438/K05341/K05342/K05350/K06044/K07405/K13057/K13810/K15778/K15916/K16055/K16147/K16149/K16150/K20108/K21574/K22934,36,Specific KO
Metabolism,Carbohydrate metabolism,ko00040,Pentose and glucuronate interconversions,31/1303,92/14490,0.33695652173913,3.74712202609363,8.30881694732964,3.50726898431625e-11,2.29375391574282e-09,1.83854732019946e-09,K00040/K00065/K00594/K00848/K00853/K00880/K00963/K01051/K01195/K01628/K01629/K01686/K01728/K01730/K01783/K01804/K01805/K01812/K01815/K01820/K03079/K05351/K08323/K14259/K14274/K16190/K18106/K19588/K21619/K22186/K22396,31,Specific KO
Metabolism,Amino acid metabolism,ko00260,"Glycine, serine and threonine metabolism",33/1303,110/14490,0.3,3.33614735226401,7.73099767950991,2.7510529861611e-10,1.4993238774578e-08,1.20177577816511e-08,K00018/K00060/K00276/K00283/K00301/K00302/K00303/K00309/K00314/K00315/K00479/K00499/K00643/K00830/K00836/K00865/K00872/K01695/K01758/K01834/K02204/K10674/K12524/K13745/K15634/K15635/K15783/K15785/K15789/K16066/K17103/K17217/K21834,33,Specific KO
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,30/1303,108/14490,0.277777777777778,3.08902532617038,6.84958645477765,1.30898390253061e-08,4.2803773612751e-07,3.43091570242234e-07,K00114/K00131/K00138/K00161/K00162/K00850/K00886/K00895/K01007/K01222/K01568/K01622/K01623/K01785/K01803/K01834/K01905/K03841/K11389/K12957/K13810/K13953/K13954/K15634/K15635/K15778/K15916/K20118/K21071/K22224,30,Specific KO
Metabolism,Energy metabolism,ko00680,Methane metabolism,43/1303,196/14490,0.219387755102041,2.43969959434273,6.37883605108637,2.74997293232011e-08,8.17491953516978e-07,6.55256708275318e-07,K00018/K00124/K00127/K00200/K00201/K00300/K00317/K00320/K00441/K00625/K00830/K00850/K00863/K00925/K01007/K01070/K01499/K01622/K01623/K01834/K03388/K03841/K05884/K05979/K07812/K08093/K08097/K08691/K10713/K11212/K11261/K11779/K12234/K14067/K14083/K14084/K15634/K15635/K16179/K21071/K22081/K22083/K22084,43,Specific KO
Metabolism,Nucleotide metabolism,ko00230,Purine metabolism,46/1303,224/14490,0.205357142857143,2.28367229470453,6.0861896098674,7.64033653415852e-08,2.0819917055582e-06,1.66881034825041e-06,K00073/K00087/K00364/K00365/K00759/K00760/K00939/K00940/K00942/K00955/K00956/K01120/K01239/K01430/K01466/K01477/K01486/K01487/K01488/K01513/K01515/K01588/K01839/K01923/K01952/K02083/K02566/K03651/K03783/K03784/K03787/K05810/K06952/K08289/K08693/K11175/K11178/K11751/K13481/K13485/K15778/K16839/K16841/K21053/K23265/K23270,46,Specific KO
Metabolism,Nucleotide metabolism,ko00240,Pyrimidine metabolism,29/1303,114/14490,0.254385964912281,2.82889687765077,6.16227425736812,1.86146814919534e-07,4.68230834451444e-06,3.75308153157603e-06,K00207/K00560/K00757/K00758/K00761/K00762/K00857/K00876/K00940/K00943/K00945/K01494/K01513/K01520/K01591/K02566/K03365/K03787/K06952/K07043/K08693/K09023/K11751/K13421/K16066/K16329/K17722/K17723/K17828,29,Specific KO
Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,32/1303,134/14490,0.238805970149254,2.65563968339423,6.05229255337757,2.13587739728984e-07,4.98879934938413e-06,3.99874790921181e-06,K00101/K00114/K00116/K00138/K00156/K00158/K00161/K00162/K00244/K00467/K00625/K00656/K00925/K01003/K01007/K01026/K01067/K01512/K01676/K01759/K01905/K01960/K01962/K01963/K03778/K05523/K07248/K12957/K13953/K13954/K22224/K22373,32,Specific KO
Metabolism,Glycan biosynthesis and metabolism,ko00550,Peptidoglycan biosynthesis,18/1303,55/14490,0.327272727272727,3.6394334751971,6.16455997293513,7.50879290142883e-07,1.63691685251149e-05,1.31206275961809e-05,K00075/K00806/K01000/K01925/K01929/K02563/K03588/K03693/K05367/K05837/K06153/K07259/K07260/K12555/K21465/K21466/K21469/K23393,18,Specific KO
Metabolism,Metabolism of cofactors and vitamins,ko00860,Porphyrin metabolism,32/1303,142/14490,0.225352112676056,2.50602618010442,5.66890815328061,8.60793357619548e-07,1.75924642463495e-05,1.4101154345215e-05,K00218/K00228/K00231/K00435/K00595/K00643/K00798/K01195/K01719/K02188/K02224/K02229/K02230/K02257/K02259/K02302/K02495/K03394/K03403/K03594/K03795/K05934/K08100/K09882/K09883/K10960/K13542/K13601/K19221/K22226/K22227/K22552,32,Specific KO
Metabolism,Energy metabolism,ko00920,Sulfur metabolism,30/1303,131/14490,0.229007633587786,2.54667736814046,5.58974108255036,1.31274305190576e-06,2.5250998704305e-05,2.02398154752034e-05,K00299/K00387/K00390/K00640/K00641/K00955/K00956/K01739/K02046/K06881/K07306/K08352/K08357/K10764/K15552/K15553/K15554/K16937/K17217/K17218/K17222/K17226/K17228/K17285/K18367/K20034/K20035/K21310/K22622/K23163,30,Specific KO
Cellular Processes,Cell motility,ko02040,Flagellar assembly,17/1303,55/14490,0.309090909090909,3.43724272657504,5.69233098608397,3.70754409188706e-06,6.73537176692817e-05,5.39870455485309e-05,K02389/K02390/K02392/K02395/K02396/K02397/K02401/K02405/K02406/K02407/K02409/K02410/K02416/K02419/K02424/K02557/K10564,17,Specific KO
Metabolism,Carbohydrate metabolism,ko00520,Amino sugar and nucleotide sugar metabolism,27/1303,118/14490,0.228813559322034,2.54451916698102,5.2953431973349,4.46005755018969e-06,7.29219409456015e-05,5.84502278945913e-05,K00066/K00075/K00847/K00884/K00886/K00963/K00965/K00975/K01452/K01787/K01809/K02473/K02793/K04042/K07102/K07106/K08678/K08679/K09001/K12446/K13810/K15778/K15916/K16011/K16190/K16881/K20118,27,Specific KO
